GENRE	TITLE	ARTIST	BPM	☆SN	♪SN	☆SH	♪SH	☆SA	♪SA	☆DN	♪DN	☆DH	♪DH	☆DA	♪DA	OLD
HINDU SALSA	2hot2eat	Osamu Kubota	-	4	307	7	612	9	854	4	311	9	635	-	-	no
FLOW POP	Air Bell	D-crew	-	5	499	6	687	8	868	5	455	7	642	8	794	no
PSYCHEDELIC SYNTH TRANCE	ANDROMEDA II	Sota Fujimori	-	5	501	9	982	10	1255	5	534	10	1084	-	-	no
EPIC POETRY	Blind Justice ～Torn souls, Hurt Faiths～	Zektbach	-	6	679	8	1001	11	1245	7	618	8	950	10	1134	no
HAPPY	Candy Galy	Risk Junk-G	-	7	800	10	1308	12	1798	6	642	8	863	12	1348	no
NOSTALISH REQUIEM	CaptivAte～誓い～	A/I	-	6	677	9	1017	10	1127	6	710	9	1078	11	1319	no
NOSTALISH REQUIEM	CaptivAte～裁き～	DJ YOSHITAKA feat.A/I	-	5	435	8	663	9	897	5	422	9	822	11	1110	no
TECHNO-RAVE	Come On	John Robinson	-	4	489	7	622	8	922	4	488	6	720	7	904	no
DRAMATIC EURO TRANCE	CROSSROAD	jun with TAHIRIH	-	5	574	8	883	10	1097	6	575	8	857	10	1047	no
CYBORG TRANCE	Cyber Force	Sota Fujimori feat.cyborg AKEMI	-	5	637	9	980	10	1200	6	610	8	929	8	1081	no
SCOUSE HOUSE	Dreaming Sweetness	Auridy	-	6	611	8	805	10	1073	6	609	7	795	10	1058	no
ACID JAZZ	earth-like planet	ELEKTEL	-	4	394	7	675	10	1048	4	393	6	660	9	1018	no
SuperNOVA BEAT	Fascination MAXX	100-200-400	-	8	508	11	876	12	1313	9	475	10	825	12	1167	no
BUCHIAGE TRANCE	FIRE FIRE	StripE	-	7	616	10	927	12	1405	6	616	9	962	11	1162	no
ROCK	four-leaf	Sis Bond Chit	-	4	386	6	642	8	867	4	386	8	642	-	-	no
DISCO	GHOSTBUSTERS	Remixed by DJ Yoshitaka	-	3	322	5	524	7	742	3	324	8	741	-	-	no
RECKLESS RAVE	GOLD RUSH	DJ YOSHITAKA-G feat.Michael a la mode	-	7	608	9	764	11	1199	6	601	8	851	10	1186	no
ELECTRONICA	GRID KNIGHT	SAW WAVE SQUAD	-	6	425	8	1012	9	1255	7	813	8	1056	10	1396	no
PROGRESSIVE	HALF MOON	Mutsuhiko Izumi	-	4	387	8	742	10	953	4	387	7	742	-	-	no
FILTER HOUSE	heaven above	kors k	-	5	418	7	711	9	928	5	419	7	706	9	921	no
HIGH SPEED LOVE SONG	High School Love	DJ YOSHITAKA feat.DWP	-	4	438	6	788	9	1106	5	439	7	771	9	1123	no
J-HAPPY HARDCORE	HONEY♂PUNCH	小坂りゆ	-	4	404	7	723	9	1036	4	405	7	690	10	1085	no
FREEFORM HARDCORE	KAMAITACHI	DJ TECHNORCH fw. GUHROOVY	-	6	647	9	1039	11	1368	8	1005	10	1335	12	1662	no
NU-SKOOL BREAKS	LASER CRUSTER	L.E.D.	-	7	732	11	1250	12	1644	8	696	11	1254	-	-	no
POPS	Love Again...	Tatsh feat. Junko Hirata	-	3	293	4	400	5	538	4	396	5	533	-	-	no
HOUSE	Make Me Your Own	good-cool ft. Raj Ramayya	-	5	451	9	836	10	1086	5	451	9	836	-	-	no
OLDSKOOL HARDCORE RAVE	METALLIC MIND	DJ TECHNORCH fw. GUHROOVY	-	4	451	8	735	9	832	5	451	7	736	-	-	no
HYPER EUROBEAT	My Only Shining Star	NAOKI feat. Becky Lucinda	-	5	590	7	716	9	957	6	574	7	721	9	920	no
DANCE POP	never…	Kanako Hoshino with dj TAKA	-	4	414	7	691	8	915	4	413	6	690	-	-	no
PIANO CONCERTO	op.31 叙情	akiko	-	4	319	9	699	10	836	5	334	11	714	-	-	no
DRUM & BASS	PHOTONGENIC	L.E.D. fw.堀澤麻衣子	-	7	701	10	1002	10	1162	7	747	9	1086	11	1409	no
小倉テクノ	Play back hate you	AKIRA YAMAOKA	-	4	408	8	876	9	1115	6	406	8	881	10	1117	no
J-POP	Red Rocket Rising	BeForU	-	5	415	7	734	10	1114	6	552	9	1082	-	-	no
EUROBEAT	Roulette	Y&Co.	-	5	458	8	741	10	1073	5	459	8	753	10	1075	no
HANDZ UP	Second Heaven	Ryu☆	-	5	500	8	787	11	1069	6	500	8	704	11	1069	no
RAVE	Sense 2007	good-cool	-	9	788	11	1179	12	1517	9	792	12	1179	12	1474	no
