GENRE	TITLE	ARTIST	BPM	SN	SN	SH	SH	SA	SA	DN	DN	DH	DH	DA	DA	OLD
HYPER J-POP SEVEN	ALFARSHEAR 双神威に廻る夢	ＴЁЯＲＡ	170	5	548	7	838	10	1049	6	548	9	838	10	1043	no
ORATORIO	Apocalypse ～dirge of swans～	Zektbach	170	5	510	9	921	10	1214	5	480	9	981	11	1270	no
NUSTYLE GABBA	ay carumba!!!!	teranoid & MC Natsack	180	6	520	9	805	10	975	6	520	10	820	-	-	no
CELTIC REEL	BALLAD THE FEATHERS	S.S.D.FANTASICA feat. Naomi Koizumi	132	4	367	6	554	8	64	5	357	7	560	-	-	no
HARD RENAISSANCE	Bloody Tears (IIDX EDITION)	DJ YOSHITAKA	170	5	574	9	1012	10	1094	5	574	10	1009	11	1280	no
LATIN HORNS GROOVE	bluemoon	小野秀幸	140	4	292	7	867	10	1174	5	473	10	961	11	1207	no
EUROBEAT	BOOM BOOM DISCO NIGHT	Y&Co.	155	5	520	8	938	10	1151	5	520	9	927	10	1148	no
LOUNGE HOUSE	BREAK OUT	Remixed by Orange Lounge	129	4	352	7	642	9	888	4	352	7	641	-	-	no
TRANCE	Broadbanded	SADA	140	4	454	8	726	11	1019	4	436	10	727	11	899	no
PROGRESSIVE	Concertino in Blue	佐々木博史	103-155	6	460	10	915	12	1311	5	486	10	972	12	1425	no
SUBLIME TECHNO	CONTRACT	朱雀	180	8	648	10	863	11	1056	7	607	10	856	12	1050	no
MIXTURE	Crazy K.I.N.O.	Shoichiro Hirata	145	5	435	7	596	9	836	5	436	8	605	11	996	no
TECHNO	D.C.fish	DJ MURASAME	155	5	513	9	998	11	1178	5	505	8	888	11	1228	no
SUPER RAVE BEAT	DEEP ROAR	NAOKI & Tatsh	165	4	503	7	726	9	976	5	503	7	721	9	969	no
J-POP	Double♡♡Loving Heart	Tatsh feat. Junko Hirata & Sayaka Minami	138	3	292	6	671	9	909	4	393	7	730	-	-	no
TECHNO	DUE TOMORROW	Mr.T	100-400	6	470	9	791	12	1073	6	470	10	791	-	-	no
